PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;4;1;28079004_1_38;2019;10;1;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;7;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;7;V;6;V;6;V
28;79;4;6;28079004_6_48;2019;10;1;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.5;V;000.4;V
28;79;4;7;28079004_7_8;2019;10;1;2;V;2;V;1;V;1;V;1;V;1;V;1;V;9;V;30;V;20;V;5;V;6;V;13;V;40;V;23;V;11;V;12;V;11;V;28;V;24;V;20;V;26;V;17;V;5;V
28;79;4;8;28079004_8_8;2019;10;1;34;V;26;V;18;V;12;V;9;V;11;V;12;V;34;V;49;V;36;V;28;V;33;V;39;V;68;V;56;V;35;V;32;V;40;V;49;V;43;V;51;V;58;V;50;V;34;V
28;79;4;12;28079004_12_8;2019;10;1;37;V;28;V;19;V;14;V;11;V;12;V;14;V;47;V;95;V;67;V;35;V;42;V;59;V;129;V;91;V;52;V;50;V;56;V;92;V;81;V;81;V;97;V;76;V;42;V
28;79;8;1;28079008_1_38;2019;10;1;13;V;13;V;13;V;13;V;12;V;12;V;12;V;12;V;12;V;12;V;12;V;13;V;13;V;13;V;12;V;12;V;12;V;12;V;12;V;13;V;13;V;13;V;13;V;13;V
28;79;8;6;28079008_6_48;2019;10;1;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V
28;79;8;7;28079008_7_8;2019;10;1;4;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;2;V;2;V;5;V;5;V;6;V;6;V;7;V;5;V;3;V;7;V;7;V;11;V;8;V;14;V;11;V;7;V
28;79;8;8;28079008_8_8;2019;10;1;54;V;32;V;27;V;28;V;21;V;22;V;24;V;26;V;27;V;25;V;31;V;37;V;32;V;31;V;33;V;26;V;23;V;34;V;47;V;55;V;59;V;71;V;64;V;51;V
28;79;8;9;28079008_9_47;2019;10;1;9;V;10;V;10;V;14;V;6;V;8;V;7;V;18;V;10;V;4;V;17;V;6;V;11;V;11;V;8;V;3;V;6;V;10;V;1;V;5;V;5;V;1;V;1;V;10;V
28;79;8;10;28079008_10_47;2019;10;1;12;V;14;V;15;V;18;V;10;V;12;V;10;V;22;V;14;V;6;V;20;V;9;V;16;V;15;V;12;V;7;V;7;V;13;V;4;V;8;V;8;V;1;V;2;V;12;V
28;79;8;12;28079008_12_8;2019;10;1;60;V;36;V;29;V;31;V;23;V;24;V;27;V;28;V;30;V;28;V;38;V;45;V;42;V;41;V;43;V;34;V;27;V;45;V;57;V;72;V;71;V;93;V;80;V;61;V
